name,addr:housenumber,addr:street,addr:city,addr:postcode,geometry
San Diego County Credit Union,665,San Rodolfo Drive,Solana Beach,92075,POINT (-117.25808 32.993558)
U.S. Bank,3201,University Avenue,San Diego,92104,POINT (-117.124757 32.748295)
U.S. Bank,5197,Waring Road,San Diego,92120,POINT (-117.080566 32.79229)
Wells Fargo,4649,Carmel Mountain Road,San Diego,92130,POINT (-117.214442 32.9212594)
San Diego County Credit Union,286,Town Center Parkway,Santee,92071,POINT (-116.9842409 32.8442142)
Pacific Western Bank,418,West San Ysidro Boulevard,San Ysidro,92173,POINT (-117.052779 32.555342)
Banner Bank,275,F Street,Chula Vista,91910,POINT (-117.078707 32.641917)
Bank of America,11855,Carmel Mountain Road,San Diego,92128,POINT (-117.077139 32.980753)
San Diego County Credit Union,3366,North Torrey Pines Court,La Jolla,92037,POINT (-117.241634 32.893589)
Bank of America,6501,Mission Gorge Road,San Diego,92120,POINT (-117.0972325 32.791385)
Union Bank,651,South Rancho Santa Fe Road,San Marcos,92078,POINT (-117.206692 33.1331601)
Chase,2770,Via de la Valle,Del Mar,92014,POINT (-117.2478749 32.9814442)
San Diego County Credit Union,3180 Suite 100,University Avenue,San Diego,92104,POINT (-117.125567 32.748803)
California Bank & Trust,6313,Mission Gorge Road,San Diego,92120,POINT (-117.0973594 32.7890789)
Comerica Bank,11608,Carmel Mountain Road,San Diego,92128,POINT (-117.0822926 32.9806449)
Mission Federal Credit Union,269,West Washington Street,San Diego,92103,POINT (-117.165803 32.749656)
San Diego County Credit Union,312,West Main Street,El Cajon,92020,POINT (-116.965132 32.7952167)
Homestreet Bank,1110,Rosecrans Street,San Diego,92106,POINT (-117.231868 32.72182)
Chase,1130,East Plaza Boulevard,National City,91950,POINT (-117.0954468 32.676772)
Chase,4650,Mission Bay Drive,San Diego,92109,POINT (-117.219307 32.805548)
Wells Fargo,2775,Via de la Valle,Del Mar,92014,POINT (-117.2485689 32.9805194)
California Coast Credit Union,898,Jackman Street,El Cajon,92020,POINT (-116.973643 32.8073303)
Wells Fargo,3820,Valley Centre Drive,San Diego,92130,POINT (-117.230676 32.939321)
San Diego County Credit Union,303,H Street,Chula Vista,91910,POINT (-117.0777439 32.6347386)
San Diego County Credit Union,625,College Boulevard,Oceanside,92057,POINT (-117.29013 33.242502)
First Citizens Bank,833,Pearl Street,La Jolla,92037,POINT (-117.2739849 32.8399751)
California Bank and Trust,135,Saxony Road,Encinitas,92024,POINT (-117.2850608 33.0490955)
Bank of America,201,East San Ysidro Boulevard,San Ysidro,92173,POINT (-117.0425764 32.5523747)
Opus Bank,7690,El Camino Real,Carlsbad,92009,POINT (-117.2682982 33.086303)
Wells Fargo,12196,Pala Mission Road,Pala,92059,POINT (-117.069162 33.3664828)
San Diego County Credit Union,1664,Garnet Avenue,San Diego,92109,POINT (-117.2397574 32.8011413)
San Diego County Credit Union,2245,Fenton Parkway,San Diego,92108,POINT (-117.129379 32.7799599)
Chase,326,West El Norte Parkway,Escondido,92026,POINT (-117.0949458 33.142621)
City National Bank,13520,Evening Creek Drive North,San Diego,92128,POINT (-117.0936972 32.9626909)
San Diego County Credit Union,12980,Carmel Country Road,San Diego,92130,POINT (-117.229787 32.9549976)
Chase,3830,Valley Centre Drive,San Diego,92130,POINT (-117.2309315 32.9398011)
California Coast Credit Union,9808,Mission Gorge Road,Santee,92071,POINT (-116.981206 32.8391083)
Navy Federal Credit Union,17030,Bernardo Center Drive,San Diego,92128,POINT (-117.0747963 33.0236304)
San Diego County Credit Union,5500,Overland Avenue,San Diego,92123,POINT (-117.130506 32.8332017)
Citibank,755,Broadway Circle,San Diego,92101,POINT (-117.1618163 32.7150134)
U.S. Bank,4747,Executive Drive,San Diego,92121,POINT (-117.2037938 32.8751599)
San Diego County Credit Union,3455,Sports Arena Boulevard,San Diego,92110,POINT (-117.2100579 32.7530355)
Bank of Hope,4428,Convoy Street,San Diego,92111,POINT (-117.155369 32.8203952)
Chase,780,Sycamore Avenue,Vista,92083,POINT (-117.2188378 33.162936)
Chase,325,West Felicita Avenue,Escondido,92025,POINT (-117.0737874 33.1040821)
Wells Fargo,8898,Navajo Road,San Diego,92119,POINT (-117.0063907 32.8031755)
Mexican Union,555,Oxford Street,Chula Vista,91911,POINT (-117.077807 32.6066854)
Banc of California,7877,Ivanhoe Avenue,La Jolla,92037,POINT (-117.271941 32.8474741)
Navy Federal Credit Union,555,Saturn Blvd,San Diego,92154,POINT (-117.090896 32.5859149)
Mission Federal Credit Union,10393,Spring Canyon Road,San Diego,92131,POINT (-117.096926 32.9355762)
Bank of America,295,E Street,Chula Vista,91910,POINT (-117.081056 32.6449795)
Wells Fargo,3505,Rosecrans Street;Sports Arena Boulevard,San Diego,92110,POINT (-117.2119617 32.7533475)
Union Bank,344,Laurel Street,San Diego,92103,POINT (-117.161392 32.7315679)
Chase,2551,5th Avenue,San Diego,92103,POINT (-117.160141 32.7320372)
Home Bank of California,4493,Ruffin Road,San Diego,92123,POINT (-117.1270796 32.8217816)
MyPoint Credit Union,780,Jamacha Road,El Cajon,92019,POINT (-116.9289138 32.7858077)
San Diego County Credit Union,2036,Dairy Mart Road,San Ysidro,92173,POINT (-117.0633107 32.5605309)
Navy Federal Credit Union,762,Dennery Road,San Diego,92154,POINT (-117.0362782 32.5794318)
Wells Fargo,637,East San Ysidro Boulevard,San Diego,92173,POINT (-117.0339853 32.5478723)
Banner Bank,742,Fletcher Parkway,El Cajon,92020,POINT (-116.9720053 32.8080109)
Navy Federal Credit Union,709,Fletcher Parkway,El Cajon,92020,POINT (-116.9714133 32.8073221)
Navy Federal Credit Union,2891,Jamacha Road,El Cajon,92019,POINT (-116.9373871 32.739664)
Union Bank,12098,Fury Lane,El Cajon,92019,POINT (-116.9340293 32.7435667)
Chase,1005,Rosecrans Street,San Diego,92106,POINT (-117.232616 32.7202999)
Neighborhood National Bank,2987,Jamacha Road,El Cajon,92019,POINT (-116.9415099 32.7387492)
California Coast Credit Union,386,East H Street,Chula Vista,91910,POINT (-117.0496272 32.638475)
Cabrillo Credit Union,358,East H Street,Chula Vista,91910,POINT (-117.0513302 32.6394347)
Bank of Southern California,1620,5th Avenue,San Diego,92101,POINT (-117.1604888 32.7222748)
Union Bank,5664,Mission Center Road,San Diego,92108,POINT (-117.1561805 32.7752782)
Mission Federal Credit Union,294,North El Camino Real,Encinitas,92024,POINT (-117.2621332 33.0538235)
Mission Federal Credit Union,3470,College Avenue,,92115,POINT (-117.0530083 32.7433502)
Chase Bank,3490,College Avenue,,92115,POINT (-117.0535944 32.7438748)
Mission Federal Credit Union,3435,Del Mar Heights Road,San Diego,92130,POINT (-117.2327777 32.9535476)
Wells Fargo,13465,Camino,El Cajon,92021,POINT (-116.9031083 32.8235309)
Mission Federal Credit Union,1302,E Plaza Boulevard,,91950,POINT (-117.0922972 32.6765622)
Bank of America,525,19th Street,San Diego,92154,"POLYGON ((-117.0921345 32.5853622, -117.0923502 32.5853626, -117.0923483 32.5855343, -117.0924024 32.5855347, -117.0924019 32.5855757, -117.092373 32.5855754, -117.0923221 32.585574, -117.0923217 32.5855837, -117.0923198 32.5856091, -117.0923197 32.5856093, -117.0921342 32.5856106, -117.0921345 32.5853622))"
San Diego County Credit Union,5555,Mildred Street,San Diego,92110,"POLYGON ((-117.1929564 32.7676978, -117.1930593 32.7676738, -117.1931367 32.7679295, -117.193145 32.7679569, -117.1929596 32.7679973, -117.1928133 32.7680293, -117.1927846 32.7679322, -117.192731 32.7677504, -117.1929564 32.7676978))"
Bank of America,8959,Clairemont Mesa Boulevard,San Diego,92123,"POLYGON ((-117.1351611 32.8311786, -117.1351618 32.8311318, -117.13512 32.8311314, -117.1351216 32.8310218, -117.135106 32.8310217, -117.1351079 32.8308893, -117.1351593 32.8308898, -117.1351624 32.8306789, -117.1352681 32.8306785, -117.1352677 32.8306828, -117.1353633 32.8306824, -117.1353866 32.8306571, -117.1353858 32.8307073, -117.1354613 32.8307081, -117.1354549 32.8311493, -117.1353887 32.8311486, -117.1353883 32.8311809, -117.1351611 32.8311786))"
U.S. Bank,610,West Washington Street,San Diego,92103,"POLYGON ((-117.1690808 32.7499849, -117.1690818 32.7500842, -117.1690246 32.7500846, -117.1690138 32.7500845, -117.1690105 32.7502461, -117.1690105 32.750252, -117.1687907 32.7502518, -117.1687907 32.7502478, -117.1687849 32.7499891, -117.1690808 32.7499849))"
Union Bank,8359,Mira Mesa Boulevard,San Diego,92126,"POLYGON ((-117.1435718 32.9125421, -117.1435705 32.9125121, -117.1435497 32.9125127, -117.1435508 32.9125389, -117.1434818 32.912541, -117.1434806 32.9125109, -117.1434589 32.9125115, -117.1434517 32.9123387, -117.1434496 32.9122885, -117.143628 32.9122832, -117.1436372 32.9125, -117.1436187 32.9125005, -117.1436204 32.9125406, -117.1435718 32.9125421))"
Bank of America,4166,El Cajon Boulevard,San Diego,92105,"POLYGON ((-117.1057681 32.7557572, -117.1057678 32.7557259, -117.1056808 32.7557272, -117.1056134 32.7557276, -117.1056164 32.755646, -117.1056263 32.7553711, -117.105628 32.7553251, -117.1056769 32.7553248, -117.1058462 32.7553313, -117.105838 32.7553696, -117.1058446 32.7556444, -117.1058499 32.7557567, -117.1057681 32.7557572))"
Chase,8850,Navajo Road,San Diego,92119,"POLYGON ((-117.0076187 32.8033324, -117.0076567 32.8031622, -117.0076862 32.8031669, -117.0076942 32.8031309, -117.0077034 32.8030898, -117.0077951 32.8031043, -117.0077869 32.8031408, -117.0077794 32.8031744, -117.0080202 32.8032123, -117.0079807 32.8033894, -117.0076187 32.8033324))"
Bank of America,1275,Rosecrans Street,San Diego,92106,"POLYGON ((-117.2296653 32.7232823, -117.229987 32.7234786, -117.2298603 32.7236255, -117.2295387 32.7234291, -117.2296653 32.7232823))"
U.S. Bank,9005,Complex Drive,San Diego,92123,"POLYGON ((-117.1342155 32.8306405, -117.1345021 32.8306375, -117.1345054 32.8308665, -117.1342189 32.8308695, -117.1342155 32.8306405))"
Union Bank,7770,Clairemont Mesa Boulevard,San Diego,92111,"POLYGON ((-117.1539491 32.8329818, -117.1539526 32.8332633, -117.1536951 32.8332655, -117.1536917 32.832984, -117.1539491 32.8329818))"
U.S. Bank,1331,Rosecrans Street,San Diego,92106,"POLYGON ((-117.2293548 32.7238978, -117.2295383 32.7240067, -117.229344 32.7242375, -117.2291611 32.7241285, -117.2293548 32.7238978))"
U.S. Bank,13183,Black Mountain Road,San Diego,92129,"POLYGON ((-117.1276484 32.9571003, -117.1277941 32.9570777, -117.1278031 32.9570999, -117.1279115 32.957082, -117.1279444 32.9572103, -117.1279625 32.957208, -117.1279699 32.9572395, -117.1280165 32.9574367, -117.127857 32.9574662, -117.1277541 32.9574851, -117.1276484 32.9571003))"
Chase,7777,Girard Avenue,La Jolla,92037,"POLYGON ((-117.2734089 32.8449949, -117.2733847 32.8450004, -117.2733449 32.8448743, -117.2732895 32.8448866, -117.2732392 32.8447499, -117.2736268 32.8446589, -117.2736486 32.8447309, -117.2736996 32.8447201, -117.2737399 32.8448536, -117.2736379 32.8448753, -117.2736692 32.8449785, -117.2738052 32.8450513, -117.2734511 32.8451286, -117.2734089 32.8449949))"
California Bank and Trust,8252,Clairemont Mesa Boulevard,San Diego,92111,"POLYGON ((-117.1463124 32.8330491, -117.1464633 32.8330492, -117.1464649 32.8330582, -117.1465335 32.8330575, -117.1465334 32.8330786, -117.1466153 32.8330764, -117.1466119 32.8331573, -117.146625 32.8331586, -117.146625 32.8332673, -117.1465405 32.8332687, -117.1465421 32.8333629, -117.1464596 32.8333659, -117.1463847 32.8333673, -117.146314 32.833315, -117.1463124 32.8330491))"
Wells Fargo,10707,Camino Ruiz,San Diego,92126,"POLYGON ((-117.1433011 32.913014, -117.1435015 32.9130141, -117.1435114 32.9130141, -117.1435113 32.9131413, -117.1435676 32.9131413, -117.1436558 32.9131413, -117.1436558 32.9132223, -117.1435676 32.9132223, -117.1435197 32.9132223, -117.1435197 32.913319, -117.1433884 32.9133189, -117.1433009 32.9133189, -117.1433011 32.913014))"
Bank of America,645,Beyer Way,San Diego,92154,"POLYGON ((-117.0612512 32.5847458, -117.0612502 32.5846371, -117.0614836 32.5846393, -117.0614977 32.5846394, -117.0614967 32.5847442, -117.0614941 32.5849998, -117.0614869 32.585, -117.0612535 32.5850034, -117.0612512 32.5847458))"
Mission Federal Credit Union,11650,Carmel Mountain Road,San Diego,92128,"POLYGON ((-117.0808315 32.9797037, -117.0807804 32.9795269, -117.0811089 32.97946, -117.0811654 32.979655, -117.0810425 32.9796801, -117.0810372 32.9796618, -117.0808315 32.9797037))"
Wells Fargo,9360,Clairemont Mesa Boulevard,San Diego,92123,"POLYGON ((-117.1270903 32.8321701, -117.1270902 32.8321487, -117.1270454 32.8321489, -117.1270447 32.8320465, -117.126991 32.8320467, -117.1268989 32.8320471, -117.1268983 32.8319594, -117.126991 32.831959, -117.1270468 32.8319587, -117.1270463 32.8318771, -117.1270184 32.8318772, -117.127018 32.831821, -117.1270572 32.8318208, -117.1270992 32.8317648, -117.1272629 32.8317637, -117.1273035 32.8317867, -117.1273053 32.8321691, -117.1270903 32.8321701))"
Bank of America,9298,Mira Mesa Boulevard,San Diego,92126,"POLYGON ((-117.1252067 32.9174378, -117.125432 32.9174362, -117.1254287 32.9177562, -117.1254284 32.9177809, -117.1251561 32.9177922, -117.1251301 32.9177932, -117.125127 32.9177165, -117.1251558 32.9177072, -117.1252128 32.9177051, -117.1252067 32.9174378))"
U.S. Bank,12950,Carmel Country Road,San Diego,92130,"POLYGON ((-117.2301255 32.9551675, -117.230114 32.9551451, -117.2300858 32.9551553, -117.230077 32.9551381, -117.2300136 32.9550141, -117.230032 32.9550075, -117.2300197 32.9549834, -117.2301313 32.9549433, -117.2301379 32.9549562, -117.2301643 32.9549467, -117.2302153 32.9550465, -117.2302394 32.9550936, -117.2302183 32.9551012, -117.2302325 32.955129, -117.2301255 32.9551675))"
